rating,title,review_text,user_id
5,B Complex in gel cap form,I bought this along with Vit C in gel cap form because a doctor explained on his website that he tests the blood of his patients regularly for the levels of various supplements he recommends and he claimed that pills seemed to result in extremely poor and uneven levels in the body. He also claimed gel caps were much better compared to pills in terms of a more even and reliable absorption into the blood stream.,1234567890
5,Five Stars,great product,1234567890
5,Five Stars,Came as expectedly,1234567890
5,Vitamin Shoppe Dry Vitamin A,Excellent Product ..... Fast Delivery ....... Will Buy From Again ........ A+A+A+A+A+,1234567890
5,Un producto que compro regularmente,Es muy buena vitamina,1234567890
5,Natural Sources,I have been taking this product for years.  I like that it is from all natural sources.,1234567890
5,Liver Support supplement,I have had good results with this support vitamin.  I even had family member try and said it helped them as well.,1234567890
" had chemotherapy and auto immune disorder (on going) and this seems to give me a boost for my liver (clean blood).""","I feel this is working, had chemotherapy and auto ... "," ""I feel this is working", 5
5,Five Stars,👍,1234567890
5,Five Stars,Very good value!,1234567890
5,Good product,As per expectation,1234567890
 hard to find at a reasonable price product. I feel,I love this product. There is no duplicate.," ""I love this extremely good for you", see
5,Five Stars,Get all you need in one time released vitamin.,1234567890
 so fine product that works for me.,Working Wll,Am taking at present with no bad taste or smell and easy to swallow,5
5,Five Stars,Tiny pills that are perfect,1234567890
 though the label is different and the brand I received is Nutricology,Different Packaging,It looks like the product sent is comparable, not Allergy Research Group as shown in the picture here.
 but now I'll never know if they help.,Aweful smell,These smelled so bad and tasted so bad that I couldn't keep taking them. I threw them out. Maybe I had a bad batch,1
" and decided to try this brand because it cost less. Not worth it. It has a very strong smell that the dog doesn't like and it didn't lower the ph like my usual brand. I am going back to TwinLab.""",Strong smell & less effective," ""I use L-methionine to lower my dog's urinary ph", 1
 you know why it's necessary to some of us. For me,Solves a LOT of problems,If you know what this does, it replaces TWO THIRDS of the expensive daily dose of 5-HTP I needed to remain depression-free.<br /><br />The pills are a bit large
,Stopped after taking it for 3 days because it gave me extreme nauseau,"It's not for me.  I didn't take this long enough to say if it helps in any way because I got extremely nauseaus from taking it and quit after 3 days.  The first day I had a basic upset stomach, the next day it was worse, the 3rd day I vommited within 20 minutes of taking it.  Perhaps taking it with food would have helped, but the directions specifically say to take '",
,,,
,,,
,,,
5,picture is not correct,This is a wonderful and very effective allergy product. The description is correct but not the photo. The helps me so much during allergy season and I don't have to take more powerful drugs that have side effects.<br />The item pictured is a really good sore throat spray. Thank you Zand.,1234567890
Much more effective and gentler than any pharmaceutical drugs for allergies.This is my second bottle,Excellent product, relieves my allergy symptoms without side effects of any kind!, and I had have no unwanted effects (like sleepiness) at all. Love these!
5,Five Stars,Just what I needed-fast shipping.,1234567890
 5,I take them every day," ""I've been buying these for about 14 years and I take them every day. I love it that there aren't a lot of extra ingredients. I am sensitive to many things and I can take these to help get the vitamins and minerals I need."""," ""1234567890"""
5,Five Stars,Purchased for my daughter's  trip to India.  She loves them for a quick snack and meal replacement.,1234567890
1,6 capsules a day!,Didn't know that the daily dose is 6 capsules.  Poor buy at that daily requirement.,1234567890
 and may not be recommended by true health care professionals,excellent at relieving stress,this was recommended initially by an employee at a health food store.  he recommended taking 3 tablets in the AM and 3 at bed-time.  while this is probably overkill, it works for me in improving my  mood and sense of well-being.  for safety
 but have the best results with Mega Stress 100.,great product,I take this for energy and to stop my hair from failling out.  It gets 4 starts on both counts.  I've tried other B-complex vitamins,4
3,Three Stars,sligltly better than average,1234567890
 nettle and horsetail,I love this tea!!!," ""I blend this herb with oat straw", recommended for combatting dry skin and hair
 used to gather it myself before and sundry.. I like that it doesn't have the seeds and that it's crushed,Good buy,I love Rosehips tea since childhood, lets you put less to brew the tea. Great taste !
5,Five Stars,i always use this item it is great,1234567890
 moods and my overall sense of well being. Have been using it for more than 6 months now,Healthy brain,This product has improved my clarity,5
5,Five Stars,Excellent product. Very pleased with purchase. Will buy again.,1234567890
 I think it is a result of the bioton,Pleased,I am pleased with the product and look forward to re-ordering it soon.  My hair has thickened significantly; however, zinc
" like they talk about in the movie ""food matters"" it is a huge help for him and with the high dose he needs this is the perfect dose capsule because he can take fewer pills. love life extension brand!",happy for this strength!,my husband uses this for anxiety and depression help,5
5,good brand-good product,It's the easy way to reduce your cholesterol. Up to 60 points in 2 months with no diet change. Safer than the pills DR. gives you. The flushing gets less everytime you use it.,1234567890
 5,"Cheapest price on Niacin I've found,  Has my Dr. approval."," ""Just started taking it so we'll see how it works on cholestrol.  One of the few places I found B3 (Niacin) that didn't cost a car payment per month."""," ""1234567890"""
 I was sick and swollen and could barely breathe. DEFINITELY get a lower dosage,Watch out - this almost sent me to the hospital," ""I took one pill after hearing niacin recommended for depression. After 10 minutes my skin was bright red and on FIRE"," this is way too much!"""
 I had no problems with flushing. But the important thing I think was that I was taking 500mg at night so my body had gotten a bit used to taking the niacin. So if you aren't already on,Works perfectly,I take this at bedtime with a 325mg regular strength aspirin (available for less than a buck at dollar store or walmart). I don't remember well but maybe I noticed my skin flush once when I woke up while sleeping but I forgot about that by going back to sleep. After that,
 itchy,"Might make you hot, red, and itchy"," ""I ordered this for my husband and I. It did make me hot and a little itchy but my poor husband was so red", and hot
 1,I had a kind of bad reaction to it.," ""About 30 miinutes after taking it I began to feel a burning sensation in my face and chest. It went away after an hour or so. ... Scared the heck out of me... I tossed the rest of the bottle after one pill."""," ""1234567890"""
 I have taken supplements my whole life,Not for me!," ""I just couldn't handle the &#34;flush&#34;"," but I do not drink energy drinks and I got that same feeling when I took these. I am sure it's a great product but I cannot take it."""
